"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1186",8784.06104020642,2.50058652485388,0.614720375108382,4.06784389473506,4.74501506693445e-05,0.00980862400264879
"g1456",3099.73055550649,0.624958300039082,0.168433048843415,3.7104256221122,0.0002069110823976,0.0214962899624189
"g146",796.186693520811,2.32191871357199,0.610883055010726,3.80092178777364,0.000144158803260751,0.0191505349943854
"g1460",2290.46974548724,2.65365800156577,0.760626023493453,3.48878150313327,0.00048522760143858,0.0293886318972001
"g1502",1190.57951205099,3.85260277611777,1.087918570181,3.54126023924457,0.000398220596172982,0.0274392953648716
"g1834",910.481235809842,0.70117089385395,0.201048857970819,3.48756466925926,0.000487441026629441,0.0293886318972001
"g2232",496.382365674198,2.30231375840071,0.519801612179735,4.42921627108118,9.45761459097612e-06,0.00456172277104748
"g231",937.004139290063,1.69601384495494,0.476085132647496,3.56241715745975,0.000367455880623754,0.0274392953648716
"g2313",1641.39112403747,2.92779922527605,0.64242148680715,4.55744287107718,5.17801680695297e-06,0.00374629515983047
"g2475",2263.01900303146,1.46243586665372,0.425744427679784,3.43500882589042,0.000592534530233798,0.0342958986099322
"g2651",8103.28551681981,1.50100727642292,0.418583669310827,3.58591934294579,0.000335892772619098,0.0274392953648716
"g2691",65.0320511261281,-1.66741161336097,0.46651185442582,-3.57421059624135,0.000351286113060573,0.0274392953648716
"g2731",215.846861237569,3.65855832129095,0.86293261462262,4.23968020132246,2.23838444734771e-05,0.00647788459062428
"g2792",397.051955901751,1.45348835402042,0.391868766749332,3.70912018857112,0.000207980690721399,0.0214962899624189
"g2802",3667.99420322532,4.23650132863634,0.972694519904045,4.35542839190074,1.32806928359396e-05,0.00480429063340113
"g2812",5316.25337204139,0.794727099992522,0.163476017444023,4.86142929353322,1.16541207768907e-06,0.00168635127641608
"g2821",71.1746835914999,-4.29277391265081,1.20638566410496,-3.55837609843922,0.000373154743095072,0.0274392953648716
"g2831",2259.51522150585,3.96469832775526,0.946496758494898,4.1888134239993,2.8041682326992e-05,0.00676271905452623
"g2847",1512.08786026241,3.16311979727959,0.892999139742903,3.54213084481836,0.000396908541466016,0.0274392953648716
"g294",833.27640842327,4.17803445219835,1.05702459682104,3.95263692516108,7.72946727664874e-05,0.0124272657214564
"g295",687.248454992932,4.7813344912266,1.18625585221033,4.03060982360392,5.56323275111481e-05,0.0100624972385789
"g304",564.338486947228,1.81522389678031,0.481213640012601,3.77217881174935,0.000161828212270591,0.0195137852629621
"g554",40.105178815736,4.4043511968652,1.25059018234325,3.52181814558363,0.000428598046034453,0.0281900623914479
"g650",1061.2694314251,2.36951457676982,0.656323817773432,3.61028277902264,0.000305863362903162,0.0274392953648716
"g761",539.206827785422,3.46781537133009,0.912946104428565,3.79848860136237,0.000145581122970449,0.0191505349943854
