"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1015",722.230451736341,-1.31967394711887,0.382611769505329,-3.44912010632881,0.000562416483771413,0.00369916660007834
"g1021",185.003858212668,5.26785834744516,1.24855072338679,4.21917848331838,2.4519411240437e-05,0.000236530587099416
"g1026",738.335647971523,-1.17865893415656,0.391899949889778,-3.00755061205814,0.00263362266344666,0.0143265112556666
"g1027",108.118845713366,-1.91520815680067,0.508712742504281,-3.76481262759906,0.000166674018307136,0.00126270840047343
"g1036",190.486158062554,-3.27835715871279,0.997635294665917,-3.28612788284584,0.00101574883562343,0.0062279176489284
"g1061",599.066300854915,3.19727236717726,0.659309440380647,4.84942603784247,1.23819226293106e-06,1.7227540427512e-05
"g1069",334.543517558151,-1.05930291766343,0.408371702721869,-2.59396748257284,0.0094875459683287,0.0408585685005108
"g108",2140.36852725466,2.05472368525617,0.392219433842173,5.23870952830699,1.61703316009019e-07,2.57126042049506e-06
"g1092",1434.0759668877,1.50821771217862,0.392511041371681,3.84248480477889,0.000121794956752487,0.000963045368419934
"g1104",142.533320482818,4.84752262271551,1.33016341066758,3.64430609340145,0.000268114183277089,0.00191113903055147
"g1129",314.961256446286,-2.33252677222954,0.640633002677682,-3.64097191758803,0.000271610764380357,0.00192657243165871
"g114",128.708653974947,1.69516972397414,0.391189779823608,4.33336915074444,1.46844573434997e-05,0.000151774355543172
"g115",160.069914453863,2.13574205825945,0.531629116256525,4.01735343861209,5.88554171122425e-05,0.00050096346212597
"g1156",131.457858190298,-7.24638743416678,1.34215138042701,-5.39908354589728,6.69821780780208e-08,1.21548666044123e-06
"g116",84.0900411513201,-2.15482181890248,0.539240837437529,-3.99602861894174,6.44139503814806e-05,0.000535672334494267
"g118",156.811971678912,5.34407923576705,1.56497618314844,3.4147990834057,0.000638290751168016,0.00410491874195608
"g1181",642.042138379423,-1.02441412967324,0.382187641134811,-2.68039575176082,0.00735351651873187,0.0333559197573825
"g1185",346.777145938835,1.05229463407663,0.401126239973984,2.62335028031295,0.00870697040730999,0.038063402354615
"g1186",8784.06104020642,-4.06292154028614,0.676883650708322,-6.00239278350793,1.94430649931812e-09,5.02394911520236e-08
"g1213",4164.05363017639,-3.01455407932683,0.57824912391944,-5.21324452494425,1.85566029498049e-07,2.91863092047474e-06
"g1221",417.182129468533,-2.55851538628832,0.65594010350613,-3.90053203427042,9.59815241588753e-05,0.000767321908607141
"g1222",2496.66462446655,-1.75506054116977,0.655872684564792,-2.67591650403058,0.00745252089746099,0.0335935564218739
"g1226",302.44533412926,4.12079234260677,1.56288712118882,2.63665384834208,0.00837282227586699,0.0368251484291171
"g1263",261.143046756303,1.61124243514794,0.544293244086557,2.96024698570704,0.00307392497534313,0.0161744343248055
"g1277",112.512713439869,-1.89202108814657,0.472178848814384,-4.00700093385659,6.14946200489063e-05,0.000517558201245861
"g1280",158.696548982426,5.02933145121774,0.877612020193343,5.73070028155466,1.0001685589525e-08,2.22652908431426e-07
"g1282",122.024588589243,1.7731792685123,0.654578977435268,2.70888514547147,0.00675097055975123,0.0314104643085532
"g1283",100.306866897457,5.60938050013772,1.6906234267567,3.31793610058911,0.000906852279607862,0.00567971096905171
"g1290",675.985371352332,-7.36497368934869,0.622517942505423,-11.8309420282846,2.70093409457989e-32,6.51375272476182e-30
"g1292",48.0359224978655,2.23793883656454,0.609895961719873,3.66937802023427,0.000243141319040412,0.00175037556543023
"g1293",666.570460437832,1.46883926241015,0.543689752970036,2.70161292241809,0.00690040439340378,0.0319173617672472
