"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g2802",3667.99420322532,5.75384607421774,1.24812474413046,4.60999279220789,4.02682931901519e-06,0.00977311475724987
"g2831",2259.51522150585,5.41213569775473,1.24109988943967,4.36075753757273,1.29612928183873e-05,0.015728528835113
"g294",833.27640842327,5.51790704782469,1.38934918765186,3.97157683386313,7.13984649093881e-05,0.0433210185837712
"g295",687.248454992932,6.76018644450347,1.64011983817682,4.12176371942321,3.75982728956297e-05,0.0304170027725644
